CODIGO  ;DESCRICAO_INSUMO;UNIDADE;  PRECO MEDIANO R$;MESANO
394;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1 1/2"" E PARAFUSO DE FIXACAO";UN    ;2,01;
39130;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1 1/4"" E CUNHA DE FIXACAO";UN    ;1,81;
395;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1 1/4"" E PARAFUSO DE FIXACAO";UN    ;1,94;
39127;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1/2"" E CUNHA DE FIXACAO";UN    ;0,95;
392;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1/2"" E PARAFUSO DE FIXACAO";UN    ;0,98;
39129;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1"" E CUNHA DE FIXACAO";UN    ;1,12;
393;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1"" E PARAFUSO DE FIXACAO";UN    ;1,17;
39133;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 2 1/2"" E CUNHA DE FIXACAO";UN    ;2,61;
397;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 2 1/2"" E PARAFUSO DE FIXACAO";UN    ;2,88;
39132;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 2"" E CUNHA DE FIXACAO";UN    ;2,09;
396;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 2"" E PARAFUSO DE FIXACAO";UN    ;2,24;
39135;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 3 1/2"" E CUNHA DE FIXACAO";UN    ;4,18;
39128;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 3/4"" E CUNHA DE FIXACAO";UN    ;1,04;
400;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 3/4"" E PARAFUSO DE FIXACAO";UN    ;1,02;
39125;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 3/8"" E PARAFUSO DE FIXACAO";UN    ;1,04;
39134;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 3"" E CUNHA DE FIXACAO";UN    ;3,48;
398;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 3"" E PARAFUSO DE FIXACAO";UN    ;3,21;
39126;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 4"" E CUNHA DE FIXACAO";UN    ;4,7;
399;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 4"" E PARAFUSO DE FIXACAO";UN    ;4,14;
39158;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO ECONOMICA (GOTA), COM 8""";UN    ;11,12;
39141;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 1 1/2""";UN    ;0,8;
39140;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 1 1/4""";UN    ;0,73;
39137;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 1/2""";UN    ;0,42;
39139;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 1""";UN    ;0,6;
39143;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 2 1/2""";UN    ;1,66;
39142;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 2""";UN    ;1,19;
39138;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 3/4""";UN    ;0,44;
39136;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 3/8""";UN    ;0,29;
39144;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 3""";UN    ;1,94;
39145;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 4""";UN    ;3,19;
12615;ABRACADEIRA PVC, PARA CALHA PLUVIAL, DIAMETRO ENTRE 80 E 100 MM, PARA DRENAGEM PREDIAL;UN    ;3,36;
11927;"ABRACADEIRA, GALVANIZADA/ZINCADA, ROSCA SEM FIM, PARAFUSO INOX, LARGURA  FITA *12,6 A *14 MM, D = 2"" A 2 1/2""";UN    ;4,65;
11928;"ABRACADEIRA, GALVANIZADA/ZINCADA, ROSCA SEM FIM, PARAFUSO INOX, LARGURA  FITA *12,6 A *14 MM, D = 3"" A 3 3/4""";UN    ;5,33;
11929;"ABRACADEIRA, GALVANIZADA/ZINCADA, ROSCA SEM FIM, PARAFUSO INOX, LARGURA  FITA *12,6 A *14 MM, D = 4"" A 4 3/4""";UN    ;8,25;
36801;"ACABAMENTO CROMADO PARA REGISTRO PEQUENO, 1/2 "" OU 3/4 """;UN    ;14,85;
36246;"ACABAMENTO SIMPLES/CONVENCIONAL PARA FORRO PVC, TIPO ""U"" OU ""C"", COR BRANCA, COMPRIMENTO 6 M";M     ;3,12;
37600;ACESSORIO DE LIGACAO NAO ELETRICO PARA CARGAS EXPLOSIVAS, TUBO DE 6 M;UN    ;47,66;
37599;ACESSORIO INICIADOR NAO ELETRICO, TUBO DE 6 M, TEMPO DE RETARDO DE *160* MS;UN    ;44,36;
1;ACETILENO (RECARGA PARA CILINDRO DE CONJUNTO OXICORTE GRANDE);KG    ;40;
3;ACIDO MURIATICO, DILUICAO 10% A 12% PARA USO EM LIMPEZA;L     ;3,14;
34457;ACO CA 60, 6,0 MM, DOBRADO E CORTADO;KG    ;4,4;
34341;ACO CA-25, VERGALHAO, 32,0 MM;KG    ;4,37;
26;ACO CA-25, 10,0 MM, VERGALHAO;KG    ;4,61;
20;ACO CA-25, 12,5 MM, VERGALHAO;KG    ;4,64;
21;ACO CA-25, 16,0 MM, VERGALHAO;KG    ;4,64;
24;ACO CA-25, 20,0 MM, VERGALHAO;KG    ;4,64;
25;ACO CA-25, 25,0 MM, VERGALHAO;KG    ;4,64;
22;ACO CA-25, 6,3 MM, VERGALHAO;KG    ;4,97;
23;ACO CA-25, 8,0 MM, VERGALHAO;KG    ;4,92;
34439;ACO CA-50, 10,0 MM, DOBRADO E CORTADO;KG    ;4,43;
34;ACO CA-50, 10,0 MM, VERGALHAO;KG    ;3,94;
34441;ACO CA-50, 12,5 MM, DOBRADO E CORTADO;KG    ;4,2;
31;ACO CA-50, 12,5 MM, VERGALHAO;KG    ;3,75;
34443;ACO CA-50, 16 MM, DOBRADO E CORTADO;KG    ;4,2;
27;ACO CA-50, 16,0 MM, VERGALHAO;KG    ;3,75;
34446;ACO CA-50, 20 MM, DOBRADO E CORTADO;KG    ;4,2;
29;ACO CA-50, 20,0 MM, VERGALHAO;KG    ;3,5;
28;ACO CA-50, 25,0 MM, VERGALHAO;KG    ;4,05;
34449;ACO CA-50, 6,3 MM, DOBRADO E CORTADO;KG    ;4,63;
32;ACO CA-50, 6,3 MM, VERGALHAO;KG    ;4,13;
33;ACO CA-50, 8,0 MM, VERGALHAO;KG    ;4,63;
34343;ACO CA-60, VERGALHAO, 9,5 MM;KG    ;4,45;
34452;ACO CA-60, 4,2 MM, DOBRADO E CORTADO;KG    ;4,1;
36;ACO CA-60, 4,2 MM, VERGALHAO;KG    ;3,91;
34456;ACO CA-60, 5,0 MM, DOBRADO E CORTADO;KG    ;4,1;
39;ACO CA-60, 5,0 MM, VERGALHAO;KG    ;3,91;
40;ACO CA-60, 6,0 MM, VERGALHAO;KG    ;3,99;
34460;ACO CA-60, 7,0 MM, DOBRADO E CORTADO;KG    ;4,49;
42;ACO CA-60, 7,0 MM, VERGALHAO;KG    ;4,06;
38;ACO CA-60, 8,0 MM, VERGALHAO;KG    ;4,52;
34344;ACO-FIO PARA PROTENSAO, CP-150 RB L, 8 MM;KG    ;6,14;
20063;ACOPLAMENTO DE CONDUTOR PLUVIAL, EM PVC, DIAMETRO ENTRE 80 E 100 MM, PARA DRENAGEM PREDIAL;UN    ;3,35;
40410;"ACOPLAMENTO RIGIDO EM FERRO FUNDIDO PARA SISTEMA DE TUBULACAO RANHURADA, DN 50 MM (2"")";UN    ;17,16;
40411;"ACOPLAMENTO RIGIDO EM FERRO FUNDIDO PARA SISTEMA DE TUBULACAO RANHURADA, DN 65 MM (2 1/2"")";UN    ;18,62;
40412;"ACOPLAMENTO RIGIDO EMFERRO FUNDIDO PARA SISTEMA DE TUBULACAO RANHURADA, DN 80 MM (3"")";UN    ;20,9;
55;"ADAPTADOR DE COMPRESSAO EM POLIPROPILENO (PP), PARA TUBO EM PEAD, 20 MM X 1/2"", PARA LIGACAO PREDIAL DE AGUA (NTS 179)";UN    ;2,75;
61;"ADAPTADOR DE COMPRESSAO EM POLIPROPILENO (PP), PARA TUBO EM PEAD, 20 MM X 3/4"", PARA LIGACAO PREDIAL DE AGUA (NTS 179)";UN    ;2,6;
62;"ADAPTADOR DE COMPRESSAO EM POLIPROPILENO (PP), PARA TUBO EM PEAD, 32 MM X 1"", PARA LIGACAO PREDIAL DE AGUA (NTS 179)";UN    ;5,39;
77;"ADAPTADOR PVC PARA SIFAO METALICO, SOLDAVEL, COM ANEL BORRACHA (JE), 40 MM X 1 1/2""";UN    ;2,94;
76;"ADAPTADOR PVC PARA SIFAO, ROSCAVEL, 40 MM X 1 1/4""";UN    ;0,57;
67;"ADAPTADOR PVC ROSCAVEL, COM FLANGES E ANEL DE VEDACAO, 1/2"", PARA CAIXA D' AGUA";UN    ;6,4;
71;"ADAPTADOR PVC ROSCAVEL, COM FLANGES E ANEL DE VEDACAO, 1"", PARA CAIXA D' AGUA";UN    ;11,26;
73;"ADAPTADOR PVC ROSCAVEL, COM FLANGES E ANEL DE VEDACAO, 3/4"", PARA CAIXA D' AGUA";UN    ;8,1;
103;"ADAPTADOR PVC SOLDAVEL CURTO COM BOLSA E ROSCA, 110 MM X 4"", PARA AGUA FRIA";UN    ;28;
107;"ADAPTADOR PVC SOLDAVEL CURTO COM BOLSA E ROSCA, 20 MM X 1/2"", PARA AGUA FRIA";UN    ;0,53;
65;"ADAPTADOR PVC SOLDAVEL CURTO COM BOLSA E ROSCA, 25 MM X 3/4"", PARA AGUA FRIA";UN    ;0,6;
108;"ADAPTADOR PVC SOLDAVEL CURTO COM BOLSA E ROSCA, 32 MM X 1"", PARA AGUA FRIA";UN    ;1,18;
110;"ADAPTADOR PVC SOLDAVEL CURTO COM BOLSA E ROSCA, 40 MM X 1 1/2"", PARA AGUA FRIA";UN    ;2,8;
109;"ADAPTADOR PVC SOLDAVEL CURTO COM BOLSA E ROSCA, 40 MM X 1 1/4"", PARA AGUA FRIA";UN    ;2,14;
111;"ADAPTADOR PVC SOLDAVEL CURTO COM BOLSA E ROSCA, 50 MM X 1 1/4"", PARA AGUA FRIA";UN    ;4,87;
112;"ADAPTADOR PVC SOLDAVEL CURTO COM BOLSA E ROSCA, 50 MM X1 1/2"", PARA AGUA FRIA";UN    ;2,63;
113;"ADAPTADOR PVC SOLDAVEL CURTO COM BOLSA E ROSCA, 60 MM X 2"", PARA AGUA FRIA";UN    ;6,7;
104;"ADAPTADOR PVC SOLDAVEL CURTO COM BOLSA E ROSCA, 75 MM X 2 1/2"", PARA AGUA FRIA";UN    ;11,57;
102;"ADAPTADOR PVC SOLDAVEL CURTO COM BOLSA E ROSCA, 85 MM X 3"", PARA AGUA FRIA";UN    ;17,38;
95;"ADAPTADOR PVC SOLDAVEL, COM FLANGE E ANEL DE VEDACAO, 20 MM X 1/2"", PARA CAIXA D'AGUA";UN    ;7,35;
96;"ADAPTADOR PVC SOLDAVEL, COM FLANGE E ANEL DE VEDACAO, 25 MM X 3/4"", PARA CAIXA D'AGUA";UN    ;9,51;
97;"ADAPTADOR PVC SOLDAVEL, COM FLANGE E ANEL DE VEDACAO, 32 MM X 1"", PARA CAIXA D'AGUA";UN    ;11,97;
98;"ADAPTADOR PVC SOLDAVEL, COM FLANGE E ANEL DE VEDACAO, 40 MM X 1 1/4"", PARA CAIXA D'AGUA";UN    ;19,42;
99;"ADAPTADOR PVC SOLDAVEL, COM FLANGE E ANEL DE VEDACAO, 50 MM X 1 1/2"", PARA CAIXA D'AGUA";UN    ;22,4;
100;"ADAPTADOR PVC SOLDAVEL, COM FLANGES E ANEL DE VEDACAO, 60 MM X 2"", PARA CAIXA D' AGUA";UN    ;27,24;
75;"ADAPTADOR PVC SOLDAVEL, COM FLANGES LIVRES, 110 MM X 4"", PARA CAIXA D' AGUA";UN    ;204,34;
114;"ADAPTADOR PVC SOLDAVEL, COM FLANGES LIVRES, 25 MM X 3/4"", PARA CAIXA D' AGUA";UN    ;8,06;
68;"ADAPTADOR PVC SOLDAVEL, COM FLANGES LIVRES, 32 MM X 1"", PARA CAIXA D' AGUA";UN    ;10,81;
86;"ADAPTADOR PVC SOLDAVEL, COM FLANGES LIVRES, 40 MM X 1  1/4"", PARA CAIXA D' AGUA";UN    ;16,01;
66;"ADAPTADOR PVC SOLDAVEL, COM FLANGES LIVRES, 50 MM X 1  1/2"", PARA CAIXA D' AGUA";UN    ;18,37;
69;"ADAPTADOR PVC SOLDAVEL, COM FLANGES LIVRES, 60 MM X 2"", PARA CAIXA D' AGUA";UN    ;27,24;
83;"ADAPTADOR PVC SOLDAVEL, COM FLANGES LIVRES, 75 MM X 2  1/2"", PARA CAIXA D' AGUA";UN    ;105,99;
74;"ADAPTADOR PVC SOLDAVEL, COM FLANGES LIVRES, 85 MM X 3"", PARA CAIXA D' AGUA";UN    ;142,78;
106;"ADAPTADOR PVC SOLDAVEL, LONGO, COM FLANGE LIVRE,  110 MM X 4"", PARA CAIXA D' AGUA";UN    ;291,9;
87;"ADAPTADOR PVC SOLDAVEL, LONGO, COM FLANGE LIVRE,  25 MM X 3/4"", PARA CAIXA D' AGUA";UN    ;12,08;
88;"ADAPTADOR PVC SOLDAVEL, LONGO, COM FLANGE LIVRE,  32 MM X 1"", PARA CAIXA D' AGUA";UN    ;14,53;
89;"ADAPTADOR PVC SOLDAVEL, LONGO, COM FLANGE LIVRE,  40 MM X 1 1/4"", PARA CAIXA D' AGUA";UN    ;21,45;
90;"ADAPTADOR PVC SOLDAVEL, LONGO, COM FLANGE LIVRE,  50 MM X 1 1/2"", PARA CAIXA D' AGUA";UN    ;24,6;
81;"ADAPTADOR PVC SOLDAVEL, LONGO, COM FLANGE LIVRE,  60 MM X 2"", PARA CAIXA D' AGUA";UN    ;36,51;
82;"ADAPTADOR PVC SOLDAVEL, LONGO, COM FLANGE LIVRE,  75 MM X 2 1/2"", PARA CAIXA D' AGUA";UN    ;142,08;
105;"ADAPTADOR PVC SOLDAVEL, LONGO, COM FLANGE LIVRE,  85 MM X 3"", PARA CAIXA D' AGUA";UN    ;191,38;
60;"ADAPTADOR PVC, COM REGISTRO, PARA PEAD, 20 MM X 3/4"", PARA LIGACAO PREDIAL DE AGUA";UN    ;3,57;
72;"ADAPTADOR PVC, ROSCAVEL, COM FLANGES E ANEL DE VEDACAO, 1 1/2"", PARA CAIXA D'AGUA";UN    ;18,94;
70;"ADAPTADOR PVC, ROSCAVEL, COM FLANGES E ANEL DE VEDACAO, 1 1/4"", PARA CAIXA D' AGUA";UN    ;19,2;
85;"ADAPTADOR PVC, ROSCAVEL, COM FLANGES E ANEL DE VEDACAO, 2"", PARA CAIXA D' AGUA";UN    ;27,6;
84;ADAPTADOR PVC, ROSCAVEL, PARA VALVULA PIA OU LAVATORIO, 40 MM;UN    ;1,05;
37997;ADAPTADOR, CPVC, SOLDAVEL, 15 MM, PARA AGUA QUENTE;UN    ;3,74;
37998;ADAPTADOR, CPVC, SOLDAVEL, 22 MM, PARA AGUA QUENTE;UN    ;3,88;
10899;"ADAPTADOR, EM LATAO, ENGATE RAPIDO 2 1/2"" X ROSCA INTERNA 5 FIOS 2 1/2"",  PARA INSTALACAO PREDIAL DE COMBATE A INCENDIO";UN    ;49,28;
10900;"ADAPTADOR, EM LATAO, ENGATE RAPIDO1 1/2"" X ROSCA INTERNA 5 FIOS 2 1/2"",  PARA INSTALACAO PREDIAL DE COMBATE A INCENDIO";UN    ;38,57;
46;ADAPTADOR, PVC PBA,  BOLSA/ROSCA, JE, DN 75 / DE  85 MM;UN    ;26,12;
51;ADAPTADOR, PVC PBA, A BOLSA DEFOFO, JE, DN 100 / DE 110 MM;UN    ;59,33;
12863;ADAPTADOR, PVC PBA, A BOLSA DEFOFO, JE, DN 50 / DE 60 MM;UN    ;17,07;
50;ADAPTADOR, PVC PBA, A BOLSA DEFOFO, JE, DN 75 / DE  85 MM;UN    ;37,58;
47;ADAPTADOR, PVC PBA, BOLSA/ROSCA, JE, DN 100 / DE 110 MM;UN    ;31,23;
48;ADAPTADOR, PVC PBA, BOLSA/ROSCA, JE, DN 50 / DE 60 MM;UN    ;12,18;
52;ADAPTADOR, PVC PBA, PONTA/ROSCA, JE, DN 50 / DE  60 MM;UN    ;6,08;
43;ADAPTADOR, PVC PBA, PONTA/ROSCA, JE, DN 75 / DE  85 MM;UN    ;16,01;
4791;ADESIVO ACRILICO/COLA DE CONTATO;KG    ;15,78;
157;ADESIVO ESTRUTURAL A BASE DE RESINA EPOXI PARA INJECAO EM TRINCAS, BICOMPONENTE, BAIXA VISCOSIDADE;KG    ;112,4;
156;ADESIVO ESTRUTURAL A BASE DE RESINA EPOXI, BICOMPONENTE, FLUIDO;KG    ;50,17;
131;ADESIVO ESTRUTURAL A BASE DE RESINA EPOXI, BICOMPONENTE, PASTOSO (TIXOTROPICO);KG    ;48,16;
39719;ADESIVO LIQUIDO A BASE DE RESINAS PARA COLAGEM DE ESPUMA DE ISOLAMENTO TERMICO FLEXIVEL;L     ;48,5;
21114;ADESIVO PARA TUBOS CPVC, *75* G;UN    ;10,39;
117;ADESIVO PLASTICO PARA PVC, BISNAGA COM 17 GR;UN    ;1,65;
119;ADESIVO PLASTICO PARA PVC, BISNAGA COM 75 GR;UN    ;4,1;
20080;ADESIVO PLASTICO PARA PVC, FRASCO COM 175 GR;UN    ;11,75;
122;ADESIVO PLASTICO PARA PVC, FRASCO COM 850 GR;UN    ;37,03;
3410;ADESIVO/COLA PARA EPS (ISOPOR) E OUTROS MATERIAIS;KG    ;13,24;
124;ADITIVO ACELERADOR DE PEGA E ENDURECIMENTO PARA ARGAMASSAS E CONCRETOS;L     ;12,51;
7334;ADITIVO ADESIVO LIQUIDO PARA ARGAMASSAS DE REVESTIMENTOS CIMENTICIOS;L     ;8,5;
7325;ADITIVO IMPERMEABILIZANTE DE PEGA NORMAL PARA ARGAMASSAS E  CONCRETOS SEM ARMACAO;KG    ;5,79;
123;ADITIVO IMPERMEABILIZANTE DE PEGA NORMAL PARA ARGAMASSAS E CONCRETOS SEM ARMACAO;L     ;5,56;
127;ADITIVO IMPERMEABILIZANTE DE PEGA ULTRARRAPIDA;L     ;13,06;
133;ADITIVO LIQUIDO INCORPORADOR DE AR PARA CONCRETO E ARGAMASSA;L     ;5,6;
37538;ADITIVO PLASTIFICANTE E ESTABILIZADOR PARA ARGAMASSAS DE ASSENTAMENTO E REBOCO;18L   ;139,2;
132;ADITIVO PLASTIFICANTE RETARDADOR DE PEGA E REDUTOR DE AGUA PARA CONCRETO;L     ;6,17;
13408;ADITIVO SUPERPLASTIFICANTE DE PEGA NORMAL PARA CONCRETO (TAMBOR 200 KG);200KG ;2.192,96;
37476;ADUELA/GALERIA DE CONCRETO ARMADO, SECAO RETANGULAR 1.50 X 1.50 M (L X A), C = 1.00 M, E = 20 CM;UN    ;1.289,27;
37478;ADUELA/GALERIA DE CONCRETO ARMADO, SECAO RETANGULAR 2.00 X 2.00 M (L X A), C = 1.00 M, E = 20 CM;UN    ;1.823,97;
37477;ADUELA/GALERIA DE CONCRETO ARMADO, SECAO RETANGULAR 2.50 X 2.50 M (L X A), C = 1.00 M, E = 20 CM;UN    ;2.231,90;
37479;ADUELA/GALERIA DE CONCRETO ARMADO, SECAO RETANGULAR 3.00 X 3.00 M (L X A), C = 1.00 M, E = 20 CM;UN    ;2.790,73;
4319;AFASTADOR PARA TELHA DE FIBROCIMENTO CANALETE 90 OU KALHETAO;UN    ;1,19;
40553;AGREGADO RECICLADO (RCD), CLASSE A, CINZA, TIPO RACHAO RECICLADO;M3    ;32;
13003;AGUA SANITARIA;L     ;1,55;
6114;AJUDANTE DE ARMADOR;H     ;9,39;
40912;AJUDANTE DE ARMADOR (MENSALISTA);MES   ;1.643,44;
247;AJUDANTE DE ELETRICISTA;H     ;9,39;
40919;AJUDANTE DE ELETRICISTA (MENSALISTA);MES   ;1.567,41;
25958;AJUDANTE DE ESTRUTURA METALICA;H     ;6,78;
40984;AJUDANTE DE ESTRUTURAS METALICAS (MENSALISTA);MES   ;1.189,79;
248;AJUDANTE DE OPERACAO EM GERAL;H     ;10,22;
41086;AJUDANTE DE OPERACAO EM GERAL (MENSALISTA);MES   ;1.788,25;
6127;AJUDANTE DE PEDREIRO;H     ;9,09;
34466;AJUDANTE DE PINTOR;H     ;9,41;
41083;AJUDANTE DE PINTOR (MENSALISTA);MES   ;1.647,27;
252;AJUDANTE DE SERRALHEIRO;H     ;8,87;
40909;AJUDANTE DE SERRALHEIRO (MENSALISTA);MES   ;1.554,56;
242;AJUDANTE ESPECIALIZADO;H     ;10,22;
41085;AJUDANTE ESPECIALIZADO (MENSALISTA);MES   ;1.788,25;
427;"ALCA PREFORMADA DE CONTRA POSTE, EM ACO GALVANIZADO, PARA CABO 3/16"", COMPRIMENTO *860* MM";UN    ;4,33;
417;ALCA PREFORMADA DE DISTRIBUICAO, EM ACO GALVANIZADO, PARA CABO DE ALUMINIO DIAMETRO 16 A 25 MM;UN    ;2,04;
11273;ALCA PREFORMADA DE DISTRIBUICAO, EM ACO GALVANIZADO, PARA CONDUTORES DE ALUMINIO AWG 1/0 (CAA 6/1 OU CA 7 FIOS);UN    ;6,33;
11272;ALCA PREFORMADA DE DISTRIBUICAO, EM ACO GALVANIZADO, PARA CONDUTORES DE ALUMINIO AWG 2 (CAA 6/1 OU CA 7 FIOS);UN    ;3,82;
11275;ALCA PREFORMADA DE SERVICO, EM ACO GALVANIZADO, PARA CONDUTORES DE ALUMINIO AWG 4 (CAA 6/1);UN    ;1,53;
11274;ALCA PREFORMADA DE SERVICO, EM ACO GALVANIZADO, PARA CONDUTORES DE ALUMINIO AWG 6 (CAA 6/1);UN    ;1,17;
38954;ALICATE ALARGADOR DE TUBO PEX;UN    ;28,32;
38956;ALICATE CRIMPADOR DE TUBO PEX;UN    ;663,72;
38470;"ALICATE DE CORTE DIAGONAL 6 "" COM ISOLAMENTO";UN    ;26,81;
38547;ALICATE DE CRIMPAR RJ11, RJ12 E RJ45;UN    ;73,16;
38469;"ALICATE DE PRESSAO PARA SOLDA DE CHAPA 18 """;UN    ;78,66;
38467;"ALICATE DE PRESSAO 11 "" PARA SOLDA, TIPO C";UN    ;44,26;
38468;"ALICATE DE PRESSAO 11 "" PARA SOLDA, TIPO U";UN    ;48,7;
38471;ALICATE PARA ANEIS DE PISTAO, CAPACIDADE 50 A 100 MM;UN    ;63,25;
37370;ALIMENTACAO - HORISTA (ENCARGOS COMPLEMENTARES) (COLETADO CAIXA);H     ;1,37;
40862;ALIMENTACAO - MENSALISTA (ENCARGOS COMPLEMENTARES) (COLETADO CAIXA);MES   ;257,48;
10658;ALISADORA DE CONCRETO COM MOTOR A GASOLINA DE 5,5 HP, PESO COM MOTOR DE 78 KG, 4 PAS;UN    ;12.097,54;
253;ALMOXARIFE;H     ;15,44;
40809;ALMOXARIFE (MENSALISTA);MES   ;2.701,01;
583;ALUMINIO ANODIZADO;KG    ;23,81;
